university,Total HE students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Middlesex University,21625,4750,1705,3045,2620,2130,16875,12755,4120,14260,2615
The University of Newcastle-upon-Tyne,19050,4665,3305,1360,2670,1995,14385,14165,220,12920,1465
Newman University College(#10),2685,210,30,180,200,10,2475,1820,655,2420,55
The University of Northampton,11585,1775,580,1200,1285,490,9805,6885,2920,9260,545
The University of Northumbria at Newcastle,29995,6750,3045,3705,4050,2700,23245,16760,6485,20640,2605
Norwich University College of the Arts(#10),1220,115,20,95,115,0,1105,1105,0,1085,20
The University of Nottingham,31830,7960,5950,2010,3925,4035,23865,20965,2905,20415,3450
The Nottingham Trent University,23505,4760,2480,2275,3570,1190,18745,15945,2805,17605,1140
The Open University(#9),181695,15165,405,14760,14970,195,166530,5,166520,166395,135
Oxford Brookes University,18035,3940,1460,2480,2935,1005,14095,11310,2785,12130,1965
The University of Oxford,23985,7925,6905,1015,3550,4375,16060,11450,4610,14015,2045
University College Plymouth St Mark and St John,3750,1615,275,1340,1490,125,2135,2060,75,2035,100
The University of Plymouth,29375,3660,1060,2600,3045,615,25715,17750,7965,24415,1300
The University of Portsmouth,19560,3580,1270,2305,2350,1230,15980,13330,2650,14490,1490
Queen Mary and Westfield College(#11),13610,3295,2205,1090,1755,1540,10315,10250,65,8695,1620
Ravensbourne College of Design and Communication,1010,0,0,0,0,0,1010,1010,0,895,115
The University of Reading,14470,3760,2060,1705,2285,1475,10710,8855,1855,9620,1090
Roehampton University,8235,1800,1030,770,1415,385,6435,5875,560,6045,390
Rose Bruford College,955,45,15,30,30,15,910,655,255,810,100
Royal Academy of Music(#11),730,410,410,0,215,195,320,320,0,200,120
Royal Agricultural College,880,200,170,30,105,95,680,650,30,635,45
Royal College of Art,950,950,905,45,575,375,0,0,0,0,0
Royal College of Music,615,265,245,25,130,135,350,350,0,220,130
Royal Holloway and Bedford New College(#11),8385,1825,1380,445,1035,790,6560,6115,440,4860,1700
Royal Northern College of Music,695,205,200,5,115,90,490,490,0,410,80
The Royal Veterinary College(#11),1795,365,215,155,290,75,1430,1400,25,1325,105
St George's Hospital Medical School(#11),4160,455,60,395,315,140,3705,2280,1425,3490,215
"St Mary's University College, Twickenham",4145,830,315,510,755,75,3320,2790,530,3045,275
The University of Salford,19180,3530,1620,1910,2225,1305,15650,12385,3265,14250,1400
The School of Oriental and African Studies(#11),4730,1955,1495,460,905,1050,2775,2695,85,1750,1025
The School of Pharmacy(#11),1230,525,155,370,410,115,705,670,35,595,110
Sheffield Hallam University,31090,7555,2575,4980,5340,2215,23535,18410,5125,22015,1520
The University of Sheffield,24560,6785,5285,1500,3615,3170,17775,15980,1790,16160,1615
Southampton Solent University,10850,720,330,390,430,290,10130,8900,1230,8850,1280
The University of Southampton,23765,6340,4270,2070,3955,2385,17425,14785,2635,15690,1735
Staffordshire University,15735,3055,965,2090,2170,885,12680,8345,4335,11965,715
University Campus Suffolk(#9),4275,195,5,190,195,0,4080,2300,1780,4040,40
The University of Sunderland,17710,2665,1595,1070,1705,960,15045,7530,7515,12825,2220
The University of Surrey,15070,5240,2960,2280,2720,2520,9835,7845,1990,8480,1355
The University of Sussex,12450,2660,1830,825,1570,1090,9795,7850,1940,8895,900
The University of Teesside,25405,2980,1375,1605,2595,385,22425,8325,14100,21400,1025
Thames Valley University,18135,2030,565,1465,1530,500,16110,8325,7785,13630,2480
Trinity Laban,880,240,160,75,155,85,640,640,0,515,125
University College London(#11),20990,9070,5975,3090,5570,3500,11920,11275,645,8580,3340
The University of Warwick,28445,8695,3605,5090,5055,3640,19750,10990,8760,16590,3160
"University of the West of England, Bristol",31700,6280,1965,4315,5385,895,25420,18235,7185,23745,1675
The University of Westminster,23225,6190,2885,3305,3555,2635,17035,11190,5845,14220,2815
The University of Winchester,5235,905,120,790,880,25,4330,3595,735,4135,195
The University of Wolverhampton,21305,3760,1250,2510,2630,1130,17545,12080,5465,15630,1915
The University of Worcester,7765,1590,465,1125,1475,115,6175,4255,1920,5875,300
Writtle College,985,0,0,0,0,0,985,750,235,880,105
York St John University,6205,835,200,635,805,30,5370,4250,1120,5245,125
The University of York,13185,3830,2915,915,2075,1755,9355,8010,1340,8385,970
Total Wales,125540,23260,11405,11855,15170,8090,102285,66810,35475,91760,10525
Aberystwyth University,9865,1735,710,1025,1185,550,8130,6085,2045,7375,755
Bangor University,10515,2055,1395,665,1340,715,8460,6630,1835,7690,770
Cardiff University,26585,6765,3430,3335,4295,2470,19820,16050,3770,18150,1670
"University of Wales Institute, Cardiff",9900,2435,1225,1210,1185,1250,7465,6645,820,6875,590
University of Glamorgan(#9),22710,3650,1580,2070,2415,1235,19060,11235,7825,16520,2540
Glynd?r University(#10),7265,635,255,385,405,230,6625,2505,4120,4725,1900
"The University of Wales, Lampeter",7885,995,375,620,560,435,6890,1100,5790,6105,785
"The University of Wales, Newport",9120,1525,455,1070,1210,315,7595,3330,4265,7410,185
Swansea Metropolitan University(#10),5595,1075,500,570,990,85,4520,3055,1465,4190,330
Swansea University,13875,2145,1330,810,1360,785,11730,9050,2685,10800,930
"Trinity College, Carmarthen",2225,245,155,85,220,25,1980,1130,850,1925,55
Total Scotland,210180,51275,26320,24955,33660,17615,158910,123290,35620,142625,16285
The University of Aberdeen,14140,3745,2395,1345,2290,1455,10395,9020,1375,8890,1505
University of Abertay Dundee,4140,585,375,210,200,385,3555,3250,305,2905,650
The University of Dundee,16720,5650,1325,4325,4075,1575,11070,8555,2510,10045,1025
Edinburgh College of Art,1595,210,175,35,80,130,1385,1335,50,1120,265
The University of Edinburgh,23555,6770,4985,1790,4160,2610,16785,16060,725,14620,2165
Glasgow Caledonian University,16770,2685,1335,1350,1720,965,14085,10290,3790,13490,595
Glasgow School of Art,1750,295,255,40,185,110,1455,1385,70,1140,315
The University of Glasgow,23735,5095,2990,2105,3680,1415,18640,14720,3915,17340,1300
Heriot-Watt University,10065,4670,1530,3140,2785,1885,5395,5065,330,4230,1165
Napier University,12995,2305,1070,1230,1370,935,10690,8470,2220,8560,2130
"Queen Margaret University, Edinburgh",5330,1210,385,825,830,380,4120,2935,1185,3730,390
The Robert Gordon University,12265,3500,1610,1890,2020,1480,8765,6610,2155,7815,950
The Royal Scottish Academy of Music and Drama,775,180,170,15,90,90,590,590,0,515,75
The University of St Andrews,8175,1520,1220,300,660,860,6655,5825,830,4915,1740
Scottish Agricultural College,925,125,50,75,70,55,800,670,130,780,20
The University of Stirling,9805,2600,1345,1250,1475,1125,7205,6370,840,6750,455
The University of Strathclyde,21740,8015,4220,3795,6290,1725,13725,11050,2675,12950,775
UHI Millennium Institute,7585,395,100,295,355,40,7190,2845,4340,7065,125
The University of the West of Scotland(#9)(#10),18135,1720,780,940,1320,400,16415,8240,8175,15760,655
Total Northern Ireland,48200,9435,3790,5645,6910,2525,38760,29950,8810,36260,2500
The Queen's University of Belfast,22220,4610,2510,2100,3435,1175,17615,13365,4250,16755,860
St Mary's University College,1040,115,15,100,105,10,925,915,10,895,30
Stranmillis University College,1295,115,20,95,115,0,1180,995,180,1145,35
University of Ulster,23640,4595,1245,3350,3255,1340,19045,14675,4370,17465,1580
,,,,,,,,,,,
