University,Total HE Students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-part-time,UG-Total-UK,UG-Total-Overseas
The London Institute,11505,1735,1035,700,1050,685,9765,9175,590,6775,2990
London Metropolitan University(#1),31595,6575,2430,4145,4600,1975,25020,16460,8565,21170,3850
London South Bank University,20130,4735,1655,3085,3680,1055,15395,8830,6565,13905,1490
London School of Economics and Political Science,8275,4735,3585,1155,1245,3495,3535,3405,130,1940,1600
London School of Hygiene & Tropical Medicine,855,855,585,270,395,465,0,0,0,0,0
Loughborough University,15090,4740,2375,2360,3070,1670,10355,10165,185,9830,520
University of Luton,11755,1910,1015,895,875,1035,9845,6225,3620,7560,2285
University of Manchester,28015,7830,4065,3765,4985,2845,20185,17795,2385,18585,1600
The University of Manchester Institute of Science & Technology,7530,2845,1870,975,1475,1375,4685,4685,0,3715,970
The Manchester Metropolitan University,31690,6910,2275,4635,6245,665,24785,20725,4060,23600,1180
Middlesex University,22895,4780,2605,2175,2730,2050,18115,13625,4490,15240,2875
The University of Newcastle-upon-Tyne,18915,6065,3770,2290,3595,2465,12850,11680,1170,11735,1115
Newman College of HE,2080,225,125,100,215,10,1855,1230,625,1780,75
University College Northampton,10990,1130,275,860,995,135,9860,7230,2625,9335,520
Northern School of Contemporary Dance,160,0,0,0,0,0,160,160,0,120,45
The University of Northumbria at Newcastle,24280,4575,1735,2840,3495,1085,19705,14375,5330,18190,1515
Norwich School of Art and Design,685,70,20,50,65,0,615,605,15,595,20
The Nottingham Trent University,23440,4775,1930,2840,4195,575,18665,15800,2865,17685,985
The University of Nottingham,31165,8175,4140,4035,5000,3175,22990,17510,5480,20920,2070
The Open University,158765,17130,465,16665,17075,60,141635,0,141635,141440,195
Oxford Brookes University,18485,6100,1975,4125,4855,1240,12385,9695,2690,10450,1935
The University of Oxford,23020,6980,5040,1940,3280,3700,16035,11455,4580,14765,1275
The University of Plymouth,27020,4525,955,3570,4130,395,22495,15960,6535,21195,1300
The University of Portsmouth,19395,4325,1620,2700,2895,1430,15070,12320,2750,12800,2270
Queen Mary and Westfield College,9900,2350,1580,770,1485,870,7550,7275,275,6535,1020
Ravensbourne College of Design and Communication,885,45,25,20,30,15,840,840,0,730,115
The University of Reading,15250,4810,2315,2495,3120,1690,10440,7885,2560,9610,830
"University of Surrey, Roehampton",8080,1690,1020,670,1410,285,6390,5575,820,5860,535
Rose Bruford College,905,50,20,25,35,15,855,570,285,725,125
Royal Academy of Music,625,310,310,0,140,165,315,315,0,210,105
Royal Agricultural College,725,265,140,120,170,95,460,445,15,425,35
Royal College of Art,850,850,810,40,610,240,0,0,0,0,0
Royal College of Music,600,225,200,25,125,100,375,375,5,270,105
The Royal College of Nursing(#3),765,195,0,195,190,10,570,0,570,545,20
Royal Holloway and Bedford New College,6425,1570,1010,560,1000,570,4855,4215,640,3965,890
Royal Northern College of Music,610,185,185,0,115,70,425,425,0,370,50
The Royal Veterinary College,1065,245,130,115,175,70,820,805,15,690,125
St George's Hospital Medical School,3585,720,30,690,680,40,2865,1620,1245,2730,135
College of St Mark and St John,4740,1775,255,1520,1740,35,2965,2035,930,2875,95
St Martin's College,10050,2860,730,2130,2720,140,7190,3985,3205,6965,225
St Mary's College,2995,550,220,330,515,35,2445,2180,265,2280,160
The University of Salford,19200,3540,1470,2075,2290,1255,15655,12695,2965,14395,1265
The School of Oriental and African Studies,3845,1855,1095,760,865,985,1990,1970,25,1300,690
The School of Pharmacy,1210,555,115,440,475,80,655,655,0,540,115
Sheffield Hallam University,26480,6290,1850,4440,5095,1195,20190,16030,4160,19215,975
The University of Sheffield,25505,6855,4305,2550,4365,2485,18650,16005,2645,17360,1295
Southampton Institute,11085,815,260,555,590,225,10270,8525,1740,9335,935
The University of Southampton,22315,5970,2900,3075,3980,1995,16345,13045,3305,15530,815
Staffordshire University,15425,2315,640,1670,1880,430,13110,9715,3395,12010,1100
The University of Sunderland,16115,2315,1560,755,1400,915,13795,7570,6230,12250,1545
"The Surrey Institute of Art and Design, University College",2965,75,50,25,50,25,2890,2810,80,2555,335
The University of Surrey,15670,5845,2785,3060,3190,2655,9825,6375,3450,8805,1025
The University of Sussex,12350,2970,1720,1255,1850,1125,9375,6565,2810,8415,960
The University of Teesside,19780,2175,615,1560,1965,210,17605,7755,9850,16905,700
Thames Valley University,16330,1640,410,1230,1400,245,14690,7335,7355,13430,1260
Trinity and All Saints College,2530,400,210,195,395,5,2130,1990,140,2105,25
Trinity College of Music,490,135,75,60,90,45,355,355,0,280,75
University College London,18900,7080,4540,2540,4515,2565,11820,11480,340,9700,2125
The University of Warwick,27355,8565,3040,5520,5055,3510,18790,9625,9165,16690,2100
"University of the West of England, Bristol",25310,4370,1540,2830,3825,545,20935,15940,4995,19900,1035
The University of Westminster,25780,8250,3045,5210,5770,2485,17525,10790,6735,15195,2330
Wimbledon School of Art,635,125,60,65,100,25,510,470,40,450,60
The University of Wolverhampton,23005,3875,945,2925,3325,545,19130,12835,6295,16260,2875
University College Worcester,7195,1130,300,830,1085,40,6065,3430,2635,5865,200
Writtle College,1330,30,0,30,30,0,1305,955,350,1175,125
York St John College,5905,875,220,650,870,5,5030,3550,1480,4805,230
The University of York,11240,3285,2230,1055,2055,1230,7955,6555,1400,7380,580
Total Wales,119535,23470,9920,13555,17485,5985,96065,60540,35525,90085,5980
"University of Wales, Aberystwyth",10825,2395,895,1500,1760,635,8425,6070,2355,7960,465
"University of Wales, Bangor",9255,1825,1185,640,1490,335,7430,5430,1995,7060,365
Cardiff University,22750,5710,3845,1865,3175,2535,17040,13035,4005,15810,1230
"University of Wales Institute, Cardiff",9090,1590,715,875,1275,310,7500,6080,1420,7120,380
University of Glamorgan,19820,3200,845,2355,2650,550,16620,9380,7240,15405,1215
"The University of Wales, Lampeter",7105,1050,180,870,705,345,6055,875,5185,5745,310
University of Wales College of Medicine,3750,1330,225,1105,1055,270,2420,2175,245,2325,95
"University of Wales College, Newport",8980,1675,365,1310,1485,190,7305,2535,4770,7045,260
The North-East Wales Institute of Higher Education,5815,595,45,550,560,35,5220,2590,2630,4500,720
Royal Welsh College of Music and Drama,590,140,75,70,110,30,450,450,0,435,15
Swansea Institute of Higher Education,5470,695,125,570,660,35,4775,3300,1475,4610,170
"University of Wales, Swansea",13480,2975,1275,1700,2275,700,10500,7465,3035,9805,695
"Trinity College, Carmarthen",2610,285,150,140,275,10,2325,1155,1165,2275,50
Total Scotland,197365,45665,19070,26595,33095,12570,151700,122875,28825,139625,12080
The University of Aberdeen,13665,3405,1460,1945,2370,1035,10260,9200,1060,9245,1015
University of Abertay Dundee,4495,680,365,315,405,275,3815,3485,330,3465,345
Bell College,4025,40,15,25,40,0,3985,2595,1385,3960,25
The University of Dundee,16465,4125,940,3185,2980,1145,12340,8685,3650,11170,1170
Edinburgh College of Art,1575,280,235,45,150,125,1295,1255,40,1115,180
The University of Edinburgh,22095,5945,3275,2670,4015,1935,16150,15095,1055,14620,1530
Glasgow Caledonian University,15185,2270,905,1360,1930,340,12915,10610,2305,12520,395
Glasgow School of Art,1440,230,185,50,160,70,1205,1200,5,1055,155
The University of Glasgow,24465,5080,2510,2570,3830,1250,19380,14815,4565,18510,870
Heriot-Watt University,8195,3065,1200,1865,1905,1160,5130,4905,225,4275,855
Napier University,13335,2590,1095,1495,2080,515,10745,8635,2110,9455,1290
The University of Paisley,10590,1540,585,955,1355,185,9050,6025,3025,8675,375
"Queen Margaret University College, Edinburgh",4585,905,440,465,680,225,3680,2900,775,3220,455
The Robert Gordon University,11850,3010,960,2050,1865,1145,8840,6495,2345,8225,620
The Royal Scottish Academy of Music and Drama,675,120,100,15,90,30,555,555,0,510,45
The University of St Andrews,7835,1430,1005,425,880,550,6405,5940,465,4745,1660
Scottish Agricultural College,670,90,55,30,65,25,580,560,25,565,15
The University of Stirling,8975,1880,850,1025,1295,585,7095,5950,1145,6825,270
The University of Strathclyde,22975,8935,2875,6060,6960,1975,14035,11530,2510,13365,670
UHI Millennium Institute,4280,45,10,35,45,5,4235,2435,1800,4100,135
Total Northern Ireland,50555,11620,4195,7430,8995,2630,38930,29300,9635,36105,2825
The Queen's University of Belfast,22975,5215,1965,3255,4080,1140,17755,12400,5355,16530,1230
St Mary's University College,1135,175,15,160,170,5,960,930,25,900,55
Stranmillis University College,1390,190,40,150,185,5,1200,955,240,1175,25
University of Ulster,25055,6035,2175,3865,4560,1475,19020,15010,4010,17500,1520
