University,Total HE students,PG-Total-all,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,ug-total-all,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
The University of Surrey,15935,6225,2810,3415,3265,2960,9710,7090,2620,8560,1150
The University of Sussex,12415,3300,1895,1405,2030,1270,9115,6715,2400,8285,825
The University of Teesside,21570,2325,1020,1305,1990,335,19245,8525,10720,18470,775
Thames Valley University,19925,1990,485,1510,1670,325,17935,8830,9105,15430,2505
Trinity and All Saints College,2515,350,210,135,325,25,2165,2070,100,2070,95
Trinity Laban,860,245,110,135,160,85,615,615,0,445,170
University College London(#14),21620,9650,6680,2975,5675,3980,11970,11380,585,9070,2900
The University of Warwick,30380,10050,3465,6585,5675,4370,20330,10600,9730,17025,3300
"University of the West of England, Bristol",28825,5475,2050,3425,4665,810,23350,17580,5770,21970,1385
The University of Westminster,26080,7355,2750,4600,4640,2710,18730,11780,6950,15805,2925
Wimbledon School of Art,720,85,45,40,70,15,640,565,75,555,85
The University of Winchester,5480,1240,120,1120,1205,30,4240,3330,910,4110,130
The University of Wolverhampton,24020,4310,1295,3020,3220,1090,19710,12640,7070,17415,2295
University of Worcester,7655,1440,385,1055,1390,55,6215,3685,2530,6050,160
Writtle College,1175,0,0,0,0,0,1175,925,250,1050,125
York St John University(#13),6460,830,230,600,810,20,5630,3855,1780,5425,205
The University of York,13750,4195,2820,1375,2360,1835,9555,7700,1855,8715,840
,,,,,,0,,,,,0
Total Wales,129230,25275,10210,15065,17830,7445,103955,64780,39175,95380,8575
"University of Wales, Aberystwyth",11020,2570,805,1765,1725,845,8450,6355,2095,7815,635
"University of Wales, Bangor",10060,1835,1100,735,1445,390,8225,5820,2405,7735,485
Cardiff University,29075,7450,3530,3925,4840,2610,21625,16305,5320,20125,1505
"University of Wales Institute, Cardiff",9985,2330,1175,1160,1420,910,7655,6380,1275,7070,590
University of Glamorgan(#12),20825,2925,1070,1855,2095,835,17900,9715,8185,15745,2155
"The University of Wales, Lampeter",9150,1695,265,1430,1035,660,7455,1100,6350,6630,825
"The University of Wales, Newport",9380,1850,415,1435,1650,205,7525,3010,4515,7310,215
The North-East Wales Institute of Higher Education,7275,435,115,320,325,110,6840,2640,4200,5725,1115
Royal Welsh College of Music and Drama,645,125,40,85,100,25,520,520,0,500,20
Swansea Institute of Higher Education,5600,1185,520,665,1110,75,4415,3100,1315,4140,275
"University of Wales, Swansea",13825,2470,1030,1435,1700,770,11355,8580,2775,10645,710
"Trinity College, Carmarthen",2400,410,155,255,395,15,1990,1250,740,1935,50
Total Scotland,215830,53985,23290,30695,36430,17555,161845,125535,36310,147035,14815
The University of Aberdeen,13760,3660,1845,1815,2480,1180,10095,8985,1110,8990,1105
University of Abertay Dundee,4125,635,350,280,240,395,3490,3095,395,3035,455
Bell College,4720,150,20,130,150,0,4575,2700,1870,4560,15
The University of Dundee,18610,5535,1365,4170,3710,1825,13080,9450,3630,11865,1215
Edinburgh College of Art,1705,365,310,55,160,205,1340,1295,45,1075,260
The University of Edinburgh,23715,6585,4450,2135,4170,2415,17135,16390,745,15260,1875
Glasgow Caledonian University,17045,3375,1215,2160,2625,750,13670,10475,3195,13200,470
Glasgow School of Art,1555,260,215,45,160,100,1295,1240,55,1100,195
The University of Glasgow,23590,4785,2815,1970,3360,1420,18810,14630,4180,17815,995
Heriot-Watt University,10225,4620,1370,3250,2695,1925,5605,4995,610,4510,1090
Napier University,14850,3165,1050,2115,2110,1055,11685,9440,2245,9645,2035
The University of Paisley,13035,1635,595,1045,1290,350,11395,5620,5780,10780,615
"Queen Margaret University College, Edinburgh",5390,1100,420,680,820,280,4295,3145,1145,3650,645
The Robert Gordon University,12790,3975,1180,2795,2120,1855,8815,6585,2235,7990,830
The Royal Scottish Academy of Music and Drama,680,120,115,5,70,50,560,560,0,505,55
The University of St Andrews,8645,1885,1330,555,845,1045,6760,5780,980,4860,1900
Scottish Agricultural College,745,75,15,60,60,15,670,585,85,655,15
The University of Stirling,8935,2030,840,1190,1340,690,6905,6280,620,6585,315
The University of Strathclyde,25105,9765,3745,6020,7765,2000,15340,11465,3880,14755,590
UHI Millennium Institute,6600,275,45,225,255,15,6325,2820,3505,6195,135
Total Northern Ireland,54625,11670,3990,7680,8765,2905,42960,31690,11270,39970,2985
The Queen's University of Belfast,24560,5395,2120,3275,4115,1280,19165,13255,5905,18145,1020
St Mary's University College,1120,120,15,100,115,5,1005,990,10,960,40
Stranmillis University College,1350,160,40,115,155,5,1195,1015,180,1150,40
University of Ulster,27595,5995,1810,4185,4380,1615,21595,16425,5175,19710,1885
