University,Total HE Students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
South Bank University,20375,4770,1415,3355,4240,530,15605,9970,5635,14515,1090,
Southampton Institute,10815,665,135,530,545,120,10155,8055,2100,9345,810,
The University of Southampton,23155,5255,2555,2705,3600,1655,17900,13045,4850,17150,745,
Staffordshire University,17750,2040,635,1405,1710,330,15710,11600,4110,14775,935,
The University of Sunderland,12525,1935,1090,845,1480,455,10590,7685,2905,9700,890,
"The Surrey Institute of Art and Design, University College",2760,80,25,50,50,30,2685,2590,95,2315,370,
The University of Surrey,13670,5085,2160,2925,2965,2115,8585,5565,3020,7545,1040,
The University of Sussex,11635,3015,1625,1390,1950,1065,8625,6520,2105,7640,980,
The University of Teesside,16090,1745,555,1190,1605,140,14345,7215,7130,13825,520,
Thames Valley University,16100,1550,305,1245,1460,90,14550,6955,7595,13425,1125,
Trinity And All Saints College,2640,505,205,295,490,15,2135,2035,105,2100,40,
Trinity College of Music,560,165,115,45,115,50,395,395,0,290,105,
University College London,19755,9150,5375,3775,5970,3180,10605,10335,270,8925,1680,
The University of Warwick,24025,7360,2540,4820,4530,2835,16660,8615,8050,15125,1535,
"University of the West of England, Bristol",23505,3435,1395,2040,3100,335,20075,15910,4160,18940,1135,
The University of Westminster,23215,6740,2340,4395,5025,1715,16480,9625,6855,14275,2205,
Wimbledon School of Art,590,130,50,80,105,25,460,445,15,395,65,
The University of Wolverhampton,20930,3120,755,2365,2740,380,17810,12450,5355,16215,1590,
University College Worcester,6335,820,285,535,800,15,5515,3255,2260,5330,185,
Writtle College,1255,60,15,40,50,10,1200,975,220,1045,155,
York St John College(#2),4910,770,180,590,765,5,4140,3180,960,3995,145,
The University of York,9480,2435,1470,965,1645,790,7045,5785,1260,6615,430,
,,,,,,,,,,,,
Total Wales,107300,19760,7830,11925,15780,3980,87540,58015,29530,81735,5810,
"University of Wales, Aberystwyth",10040,1835,555,1280,1430,410,8200,5870,2330,7720,480,
"University of Wales, Bangor",8745,1475,870,600,1245,230,7270,5585,1690,6865,405,
Cardiff University,20980,4655,2950,1705,3050,1605,16330,12340,3990,15130,1200,
"University of Wales Institute, Cardiff",8120,1360,590,770,1200,160,6760,5525,1235,6400,360,
University of Glamorgan,17530,2710,650,2065,2330,380,14820,9265,5550,13535,1285,
"The University of Wales, Lampeter",4440,630,90,540,420,210,3810,910,2900,3610,200,
University of Wales College of Medicine,3650,1200,220,985,980,220,2445,2160,285,2325,120,
"University of Wales College, Newport",8185,1375,275,1100,1230,145,6810,2420,4390,6510,300,
The North-East Wales Institute of Higher Education,5385,600,20,580,575,25,4785,2370,2420,4160,625,
Swansea Institute of Higher Education,4725,700,100,600,695,5,4025,3105,920,3890,135,
"University of Wales, Swansea",12240,2820,1325,1495,2255,565,9420,6955,2465,8830,590,
"Trinity College, Carmarthen",2670,370,170,205,355,20,2295,985,1310,2230,70,
Welsh College of Music and Drama,590,25,20,5,15,5,565,520,45,525,45,
,,,,,,,,,,,,
Total Scotland,180305,40755,16020,24735,31385,9370,139550,114260,25290,129285,10270,
The University of Aberdeen,11030,2130,1025,1105,1370,760,8900,8060,840,8075,820,
University of Abertay Dundee,4630,690,350,335,495,195,3940,3435,500,3595,345,
The University of Dundee,12920,3190,630,2560,2350,835,9735,7645,2090,8835,900,
Edinburgh College of Art,1635,340,255,85,220,120,1295,1295,0,1165,135,
The University of Edinburgh,23970,5855,2815,3040,4105,1750,18115,14820,3300,16545,1570,
Glasgow Caledonian University,14410,1905,760,1145,1720,185,12505,10080,2425,12145,365,
Glasgow School of Art,1500,115,95,20,70,45,1385,1370,15,1115,270,
The University of Glasgow,23100,4815,2010,2805,3920,900,18280,14290,3990,17480,805,
Heriot-Watt University,7445,2815,975,1840,1840,975,4630,4525,105,4025,610,
Napier University,12780,2280,830,1450,2055,225,10500,8370,2130,9610,890,
Northern College of Education,3105,1675,275,1400,1580,95,1430,820,610,1410,20,
The University of Paisley,10475,1615,830,785,1445,170,8855,5720,3135,8490,365,
"Queen Margaret University College, Edinburgh",4255,500,200,295,410,90,3755,2935,820,3220,535,
The Robert Gordon University,10950,2310,595,1715,1780,530,8640,6855,1785,8080,560,
The Royal Scottish Academy of Music and Drama,630,105,90,20,75,35,525,525,0,495,30,
The University of St Andrews,7185,1165,940,225,765,400,6015,5630,385,4815,1205,
Scottish Agricultural College,830,45,35,5,35,10,785,785,0,745,40,
The University of Stirling,8395,1730,780,950,1245,485,6665,5830,835,6390,275,
The University of Strathclyde,21050,7470,2520,4945,5905,1565,13585,11260,2320,13045,540,
,,,,,,,,,,,,
,46320,10375,3960,6415,8290,2085,35940,25935,10010,32950,2990,
The Queen's University of Belfast,22130,4585,2005,2580,3670,920,17540,11630,5910,16105,1435,
St Mary's University College,965,160,10,150,155,5,805,735,70,755,50,
Stranmillis University College,1220,165,35,125,160,0,1055,790,265,1035,20,
University of Ulster,22005,5465,1905,3555,4305,1160,16540,12785,3755,15055,1485,
,,,,,,,,,,,,
