university,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,PG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All,Total HE students
The University of Huddersfield,1730,2195,2835,1090,3925,13600,2910,14640,1870,16510,20435
The University of Hull,2295,1330,1845,1775,3620,12280,2975,13400,1855,15255,18880
"Imperial College of Science, Technology and Medicine",5625,1570,3670,3525,7195,8810,0,5430,3380,8810,16000
Institute of Education(#9),1745,3410,4315,840,5155,145,125,265,5,270,5425
The University of Keele,995,1590,2145,440,2585,7135,515,6485,1165,7650,10230
The University of Kent,2385,1655,2605,1440,4045,14735,1035,12685,3085,15770,19815
King's College London(#9),6490,4260,7000,3750,10750,13005,3535,12760,3775,16535,27290
Kingston University,2370,2570,3345,1595,4940,17175,1980,16565,2595,19160,24095
The University of Lancaster,2200,1380,1930,1650,3580,8970,185,6865,2290,9155,12740
Leeds College of Art,0,0,0,0,0,1105,20,1100,25,1125,1125
Leeds Metropolitan University,1325,2325,2815,835,3650,17800,4360,21065,1090,22155,25805
The University of Leeds,4370,2720,4255,2835,7090,22425,865,20855,2440,23295,30385
Leeds Trinity University(#8),180,425,525,80,605,2575,85,2610,50,2660,3265
The University of Leicester,3660,2615,3730,2550,6280,9965,920,8630,2250,10880,17160
The University of Lincoln,825,1200,1445,580,2025,8870,1825,10135,560,10695,12720
Liverpool Hope University,725,940,1500,165,1665,4480,395,4680,195,4875,6540
Liverpool John Moores University,1375,2110,2995,485,3480,16710,2390,17625,1480,19105,22585
The Liverpool Institute for Performing Arts,0,0,0,0,0,730,0,555,175,730,730
The University of Liverpool,3025,1630,2675,1980,4655,15775,445,12820,3400,16220,20875
"University of the Arts, London",2315,745,1305,1755,3060,13560,425,8470,5515,13985,17045
London Business School(#9),1380,470,535,1320,1855,0,0,0,0,0,1855
University of London (Institutes and activities)(#9),150,105,140,115,255,0,0,0,0,0,255
London Metropolitan University,1920,1895,2775,1040,3815,12355,1935,12250,2040,14290,18105
London South Bank University,1885,2810,3880,815,4695,10325,4775,14225,880,15105,19795
London School of Economics and Political Science(#9),5390,585,1075,4905,5980,3900,70,2200,1770,3970,9945
London School of Hygiene and Tropical Medicine(#9),640,495,580,555,1135,0,0,0,0,0,1135
Loughborough University,2305,1685,2055,1930,3985,11090,385,10225,1250,11475,15460
The Manchester Metropolitan University,2320,3590,5260,650,5910,24210,2345,24955,1600,26555,32465
The University of Manchester,7575,3775,6525,4825,11350,26200,880,20865,6215,27080,38430
Middlesex University,2205,2175,2510,1870,4380,14400,2350,13340,3410,16750,21130
The University of Newcastle-upon-Tyne,4145,1530,2785,2895,5680,15465,50,12655,2860,15515,21190
Newman University(#8),300,160,445,15,460,1690,675,2345,20,2365,2825
The University of Northampton,765,1685,1875,570,2445,9085,2505,10585,1005,11590,14035
The University of Northumbria at Newcastle,2315,2305,3155,1460,4615,18910,4285,21040,2160,23200,27815
Norwich University of the Arts(#8),15,55,65,5,70,1680,0,1615,65,1680,1750
The University of Nottingham,7665,2740,5640,4770,10410,23445,1690,20800,4330,25130,35540
The Nottingham Trent University,2480,2650,3345,1785,5130,20020,1720,20420,1320,21740,26870
The Open University,290,10945,11100,140,11240,5,156970,156765,210,156975,168215
Oxford Brookes University,1775,2465,3125,1115,4240,11295,2330,11510,2115,13625,17865
The University of Oxford,7305,1620,3945,4980,8925,11525,5225,14710,2035,16745,25670
The University of Plymouth,1645,2310,2830,1125,3955,20540,4130,22770,1905,24675,28625
The University of Portsmouth,1705,2005,2530,1185,3715,17015,1965,16215,2765,18980,22690
Queen Mary University of London(#8)(#9),3120,935,1825,2230,4055,10950,35,8615,2370,10985,15040
Ravensbourne,65,30,70,25,95,1595,0,1485,110,1595,1695
The University of Reading,2720,1805,2655,1870,4525,8795,115,7555,1355,8910,13435
Roehampton University,1215,1470,2050,635,2685,6140,235,5800,575,6375,9060
Rose Bruford College,20,25,35,10,45,595,185,710,70,780,820
Royal Academy of Music(#9),430,0,205,225,430,325,0,190,135,325,755
Royal Agricultural University(#8),180,25,135,70,205,905,50,860,90,950,1155
Royal College of Art,1400,65,690,775,1465,0,0,0,0,0,1465
Royal College of Music,315,30,150,195,345,385,5,220,165,385,730
Royal Holloway and Bedford New College(#9),1710,600,1320,995,2315,6690,560,5385,1865,7250,9565
Royal Northern College of Music,220,10,135,95,230,515,0,430,85,515,745
The Royal Veterinary College(#9),230,320,470,80,550,1535,70,1385,220,1605,2155
St George's Hospital Medical School(#9),140,495,615,25,640,2485,2030,4315,200,4515,5150
"St Mary's University College, Twickenham",390,790,1070,110,1180,3470,315,3600,185,3785,4965
The University of Salford,1765,1885,2565,1085,3650,13760,1750,13770,1740,15510,19160
The School of Oriental and African Studies(#9),1805,580,1050,1335,2385,2990,40,1835,1195,3030,5420
Sheffield Hallam University,2605,5075,5410,2270,7680,21865,5170,24525,2515,27040,34720
The University of Sheffield,5535,1905,3665,3770,7435,16885,1220,14875,3230,18105,25540
Southampton Solent University,165,410,420,155,575,10155,1360,10010,1505,11515,12090
The University of Southampton,5235,1825,3570,3490,7060,15520,535,13320,2735,16055,23115
Staffordshire University,1100,2440,2680,860,3540,10470,7010,16815,665,17480,21020
University of St Mark and St John(#8),280,240,460,60,520,2060,85,2030,115,2145,2665
University Campus Suffolk,75,285,350,10,360,3815,1275,5000,85,5085,5445
The University of Sunderland,2375,840,1310,1905,3215,9800,1940,8925,2815,11740,14955
The University of Surrey,2565,1530,2090,2005,4095,8905,895,7625,2175,9800,13895
The University of Sussex,2685,870,1760,1795,3555,9565,25,7420,2170,9590,13145
Teesside University,680,1455,1730,405,2135,9355,8475,17095,735,17830,19965
Trinity Laban Conservatoire of Music and Dance,120,120,160,80,240,645,0,510,135,645,885
University College London(#7)(#9),8645,3045,6545,5145,11690,13700,885,9080,5505,14585,26275
The University of Warwick,5390,4390,5170,4610,9780,12395,3975,12395,3975,16370,26150
"University of the West of England, Bristol",1485,3760,4320,925,5245,19230,2955,20440,1745,22185,27430
The University of West London,690,715,970,435,1405,7400,2780,8335,1840,10175,11580
The University of Westminster,2215,2195,2560,1850,4410,12290,3470,12295,3465,15760,20175
The University of Winchester,215,805,965,60,1025,4815,560,5050,320,5370,6395
The University of Wolverhampton,1620,1910,2565,965,3530,12360,4065,15260,1160,16420,19950
The University of Worcester,615,960,1405,170,1575,7255,1480,8200,535,8735,10310
Writtle College,0,0,0,0,0,835,55,800,90,890,890
York St John University,310,505,715,100,815,4360,875,4960,275,5235,6050
The University of York,3180,790,2135,1835,3970,11245,935,10395,1785,12180,16150
Total England,244730,200395,281800,163325,445125,1140600,359270,1315645,184225,1499870,1944995
,,,,0,,,,,0,,
Aberystwyth University,1090,685,1170,605,1775,8035,1805,8515,1325,9840,11615
Bangor University,1940,960,1620,1280,2900,7315,1145,7500,960,8460,11360
Cardiff University,4090,3430,4410,3110,7520,17335,3685,18245,2775,21020,28540
Cardiff Metropolitan University,2585,1285,1690,2180,3870,7845,725,7355,1215,8570,12440
University of Glamorgan(#7),2000,1815,2280,1535,3815,12030,4500,14960,1570,16530,20345
Glynd?r University,805,580,600,785,1385,3915,3220,4230,2905,7135,8520
"The University of Wales, Newport(#7)",475,1330,1440,365,1805,3805,4165,7640,335,7975,9780
Swansea University,1735,715,1555,895,2450,10075,1830,10610,1300,11910,14360
University of Wales Trinity Saint David(#7),1140,960,1470,630,2100,6690,3035,9065,660,9725,11825
Total Wales,15860,11755,16235,11385,27620,77055,24110,88120,13045,101165,128780
,,,,0,,,,,0,,
The University of Aberdeen,2145,1285,2075,1355,3430,10640,1250,9185,2705,11890,15320
University of Abertay Dundee,260,155,205,215,420,4125,290,3955,460,4415,4835
The University of Dundee,1735,3425,3805,1350,5155,9090,1460,9150,1400,10550,15705
Edinburgh Napier University,995,1140,1335,795,2130,9210,1510,8710,2010,10720,12855
The University of Edinburgh,6605,1960,4235,4330,8565,18390,735,14310,4815,19125,27690
Glasgow Caledonian University,1450,1090,1495,1045,2540,10855,2530,12490,895,13385,15925
Glasgow School of Art,365,30,190,205,395,1320,15,1055,280,1335,1730
The University of Glasgow,4900,1725,3590,3035,6625,16375,3635,17145,2865,20010,26635
Heriot-Watt University,2080,2155,2405,1830,4235,6175,655,4625,2205,6830,11065
"Queen Margaret University, Edinburgh",525,1380,1445,460,1905,2905,525,2795,635,3430,5340
The Robert Gordon University,1825,2125,2190,1760,3950,7170,1885,8030,1030,9060,13010
Royal Conservatoire of Scotland,170,10,100,75,175,755,0,620,135,755,930
The University of St Andrews,1680,370,785,1265,2050,6465,950,4320,3095,7415,9465
SRUC,0,55,45,10,55,790,70,825,35,860,910
The University of Stirling,2400,1045,1600,1850,3450,6355,930,6685,600,7285,10735
The University of Strathclyde,3170,2505,4135,1535,5670,11525,2655,12890,1290,14180,19850
University of the Highlands and Islands,65,375,415,20,435,4160,2825,6735,250,6985,7420
The University of the West of Scotland,630,940,1290,280,1570,9760,4035,12970,830,13800,15370
Total Scotland,30995,21765,31340,21420,52760,136060,25965,136500,25525,162025,214785
,,,,0,,,,,0,,
The Queen's University of Belfast,2510,2115,3540,1085,4625,14145,3925,17030,1045,18075,22700
St Mary's University College,20,215,220,15,235,860,5,850,15,865,1100
Stranmillis University College,35,240,255,20,275,870,315,1160,25,1185,1460
University of Ulster,2325,3480,4185,1615,5800,16085,4575,18140,2515,20655,26460
Total Northern Ireland,4885,6050,8200,2735,10935,31960,8820,37175,3605,40780,51715
,,,,0,,,,,0,,
Total UK,296470,239965,337575,198865,536440,1385675,418165,1577440,226400,1803840,2340275
,,,,,,,,,,,
