university,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,PG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas,UG-Total-All,Total HE students
Leeds Metropolitan University,1760,2340,2915,1185,4100,17940,4980,21755,1165,22920,27020
The University of Leeds,5295,2885,4685,3495,8180,22595,1660,22125,2130,24255,32435
Leeds Trinity University College,215,445,475,185,660,2505,315,2755,65,2820,3480
The University of Leicester,3065,2810,3840,2040,5880,9465,1235,8865,1835,10700,16580
The University of Lincoln,575,1015,1250,340,1590,8515,1900,9975,440,10415,12000
Liverpool Hope University,885,830,1405,310,1715,4740,920,5450,215,5665,7380
Liverpool John Moores University,1710,2565,3305,965,4270,16715,3695,18400,2010,20410,24680
The Liverpool Institute for Performing Arts,0,45,40,5,45,685,0,540,145,685,735
The University of Liverpool,2520,1525,2390,1655,4045,14540,2280,14565,2250,16815,20860
"University of the Arts, London",2495,850,1495,1850,3345,12930,695,8680,4940,13620,16965
London Business School(#9),1190,885,555,1515,2070,0,0,0,0,0,2070
University of London (Institutes and activities)(#9),265,145,250,160,410,0,0,0,0,0,410
London Metropolitan University,3180,3105,3585,2700,6285,12695,3855,13205,3345,16550,22835
London South Bank University,1735,3715,4410,1040,5450,11590,8235,18255,1570,19825,25275
London School of Economics and Political Science(#9),5040,510,1010,4540,5550,3885,95,2215,1760,3975,9525
London School of Hygiene and Tropical Medicine(#9),765,515,630,645,1275,0,0,0,0,0,1275
Loughborough University,2470,1955,2390,2035,4425,11285,405,10460,1235,11695,16120
The Manchester Metropolitan University,2810,4220,6135,890,7025,24540,3195,25930,1805,27735,34765
The University of Manchester,7955,3775,6645,5080,11725,27415,1270,23275,5410,28685,40410
Middlesex University,2775,3270,3285,2760,6045,14400,3410,14500,3310,17810,23855
The University of Newcastle-upon-Tyne,4440,1660,3245,2850,6095,14775,70,12515,2330,14845,20940
Newman University College,60,230,280,10,290,2045,780,2775,45,2820,3110
The University of Northampton,1100,1435,1700,835,2535,9080,3245,11240,1085,12325,14860
The University of Northumbria at Newcastle,2570,2680,3515,1735,5250,18195,5980,21835,2340,24175,29425
Norwich University College of the Arts,15,45,55,5,60,1470,0,1430,40,1470,1530
The University of Nottingham,7345,2720,5450,4610,10060,23025,2085,21135,3980,25115,35175
The Nottingham Trent University,1820,2770,3305,1285,4590,20380,1870,21085,1170,22255,26845
The Open University,295,13390,13550,135,13685,10,195010,194940,85,195025,208710
Oxford Brookes University,1740,2505,3165,1080,4245,11730,2405,12015,2120,14135,18380
The University of Oxford,7260,1265,3730,4795,8525,11430,4960,14565,1825,16390,24915
University College Plymouth St Mark and St John,205,1600,1785,20,1805,2130,70,2050,150,2200,4005
The University of Plymouth,1720,3500,4200,1020,5220,20530,6750,25465,1815,27280,32500
The University of Portsmouth,2120,2250,2880,1490,4370,16700,2330,16610,2420,19030,23400
Queen Mary and Westfield College(#9),2725,985,1885,1830,3715,11100,10,8900,2205,11105,14820
Ravensbourne,60,0,35,30,65,1410,0,1290,120,1410,1475
The University of Reading,2505,1970,2855,1620,4475,8595,120,7510,1210,8720,13195
Roehampton University,1255,1225,1970,515,2485,6085,575,6285,375,6660,9145
Rose Bruford College,5,15,20,0,20,610,235,760,85,845,865
Royal Academy of Music(#9),410,0,230,180,410,335,0,195,140,335,745
Royal Agricultural College,200,15,135,80,215,860,30,810,85,895,1110
Royal College of Art,1190,45,705,530,1235,0,0,0,0,0,1235
Royal College of Music,335,20,160,195,355,365,5,225,150,375,730
Royal Holloway and Bedford New College(#9),1625,460,1100,985,2085,6775,660,5565,1870,7435,9520
Royal Northern College of Music,225,5,125,100,225,505,0,415,90,505,735
The Royal Veterinary College(#9),235,375,530,80,610,1465,60,1370,155,1525,2135
St George's Hospital Medical School(#9),155,525,615,65,680,2280,775,2910,145,3055,3740
"St Mary's University College, Twickenham",320,730,965,85,1050,3200,590,3595,195,3790,4840
The University of Salford,2465,2355,3045,1775,4820,14125,2630,14745,2010,16755,21575
The School of Oriental and African Studies(#9),1710,520,970,1255,2225,2860,85,1810,1130,2940,5170
The School of Pharmacy(#9),195,475,500,170,670,700,45,630,115,745,1415
Sheffield Hallam University,3015,5670,6105,2580,8685,21735,6085,25740,2080,27820,36510
The University of Sheffield,6815,2135,4525,4425,8950,16540,1470,15460,2545,18005,26960
Southampton Solent University,285,390,430,245,675,9880,1730,9950,1660,11610,12285
The University of Southampton,5070,1780,3780,3070,6850,15635,830,14175,2295,16470,23315
Staffordshire University,1290,2270,2530,1035,3565,10330,8110,17430,1010,18440,22000
University Campus Suffolk,20,225,235,10,245,3475,1835,5235,75,5310,5550
The University of Sunderland,1970,890,1345,1515,2860,8915,6005,12700,2220,14920,17780
The University of Surrey,4005,1575,2405,3175,5580,9570,1115,8615,2070,10685,16265
The University of Sussex,2310,955,1790,1475,3265,8595,370,7655,1310,8965,12230
Teesside University(#8),1540,1885,2315,1105,3420,9565,14275,22325,1520,23845,27265
Trinity Laban Conservatoire of Music and Dance,180,80,175,85,260,640,5,500,145,645,905
University College London(#9),8155,3125,6550,4725,11275,12535,870,8780,4625,13405,24680
The University of Warwick,5270,4925,5770,4425,10195,12360,5610,13825,4145,17970,28165
"University of the West of England, Bristol",1580,4715,5375,920,6295,19435,4800,22550,1685,24235,30530
The University of West London(#8),740,725,930,535,1465,7755,4855,10565,2045,12610,14075
The University of Westminster,3220,3110,3650,2680,6330,12670,3745,13210,3205,16415,22745
The University of Winchester,205,1325,1445,85,1530,4435,925,4940,420,5360,6890
The University of Wolverhampton,1845,2265,2870,1240,4110,13020,5045,16385,1680,18065,22175
The University of Worcester,535,1460,1830,165,1995,6200,1895,7595,505,8100,10095
Writtle College,0,20,20,0,20,810,190,925,75,1000,1025
York St John University,260,620,780,100,880,3720,1350,4855,210,5065,5950
The University of York,4050,995,2610,2435,5045,10460,1170,10190,1440,11630,16675
Total England,257235,234160,316265,175130,491395,1125420,480405,1429795,176030,1605825,2097215
Aberystwyth University,990,810,1255,545,1800,7390,1950,8200,1140,9340,11140
Bangor University,1800,965,1640,1125,2765,7395,1015,7570,840,8410,11175
Cardiff University,4405,3740,4945,3205,8150,16765,3930,18400,2295,20695,28840
Cardiff Metropolitan University(#8),1800,3300,1345,3755,5100,7540,840,7385,1000,8385,13485
University of Glamorgan,2175,1850,2360,1665,4025,12020,4170,14465,1720,16185,20210
Glynd?r University,780,605,635,755,1390,3850,3720,4775,2795,7570,8960
"The University of Wales, Newport",820,1290,1375,735,2110,3800,4130,7595,335,7930,10040
Swansea Metropolitan University,755,550,1055,250,1305,3485,1175,4215,445,4660,5965
Swansea University,1690,575,1335,930,2265,10380,1830,11120,1095,12215,14480
University of Wales Trinity Saint David(#7)(#8),915,605,805,715,1520,3065,2120,4240,945,5185,6705
Total Wales,16130,14295,16750,13680,30430,75695,24880,87965,12610,100575,131005
The University of Aberdeen,2510,1475,2365,1620,3985,10850,1345,9830,2365,12195,16180
University of Abertay Dundee,320,135,220,235,455,4200,320,3750,770,4520,4975
The University of Dundee,1865,3665,3945,1585,5530,9280,1350,9615,1015,10630,16160
Edinburgh College of Art,355,50,180,225,405,1230,50,1070,210,1280,1685
Edinburgh Napier University,1380,1335,1615,1105,2720,9390,1865,9080,2175,11255,13970
The University of Edinburgh,5870,2260,4475,3655,8130,16985,585,14020,3550,17570,25700
Glasgow Caledonian University,2090,1435,2080,1445,3525,10685,3125,12905,905,13810,17335
Glasgow School of Art,275,45,175,145,320,1435,35,1100,375,1475,1795
The University of Glasgow,4050,2140,3725,2465,6190,15855,4505,18220,2140,20360,26550
Heriot-Watt University,1905,2995,2895,2010,4905,5580,695,4495,1780,6275,11180
"Queen Margaret University, Edinburgh",505,1050,1020,535,1555,2780,1130,3335,575,3910,5460
The Robert Gordon University,1860,2160,2095,1925,4020,6885,2220,7995,1110,9105,13125
Royal Conservatoire of Scotland(#8),125,30,85,75,160,670,0,580,90,670,830
The University of St Andrews,1775,395,775,1395,2170,6395,975,4700,2670,7370,9540
Scottish Agricultural College,0,40,25,15,40,860,110,930,40,970,1010
The University of Stirling,1985,1165,1725,1425,3150,7215,1260,7625,850,8475,11625
The University of Strathclyde,3210,2690,4385,1515,5900,11740,2585,13380,950,14330,20230
University of the Highlands and Islands(#8),85,365,420,35,455,3445,3175,6430,190,6620,7075
The University of the West of Scotland,785,1190,1590,385,1975,9895,4780,14035,645,14680,16655
Total Scotland,30955,24625,33800,21780,55580,135385,30110,143085,22410,165495,221075
The Queen's University of Belfast,3740,2105,4240,1600,5840,13785,4570,17450,905,18355,24195
St Mary's University College,20,100,115,5,120,860,5,835,30,865,985
Stranmillis University College,30,100,120,10,130,885,290,1135,35,1170,1300
University of Ulster,1905,3320,3745,1480,5225,15305,4990,17770,2525,20295,25520
Total Northern Ireland,5690,5625,8215,3100,11315,30830,9855,37185,3500,40685,52000
Total UK,310015,278705,375030,213690,588720,1367330,545250,1698040,214540,1912580,2501295
