University,Total HE students,PG-Total-all,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,ug-total-all,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
The University of Keele,11840,2990,1185,1805,2215,775,8850,5935,2915,8325,530
The University of Kent,17060,3870,1060,2810,2640,1225,13190,9735,3460,11365,1830
Kent Institute of Art & Design,2225,120,90,25,45,75,2110,1985,125,1690,415
King's College London(#3),21965,6970,3490,3480,4760,2210,14995,12120,2875,13155,1840
Kingston University,20525,4485,1485,3000,3520,965,16040,14010,2030,14200,1840
The University of Lancaster,17340,3545,1760,1785,2220,1325,13795,8195,5605,12615,1185
Leeds Metropolitan University,28035,4255,1450,2805,3255,995,23780,15035,8745,21420,2365
The University of Leeds,36205,9695,6125,3570,5860,3835,26515,22725,3790,24815,1700
The University of Leicester,16180,6290,2240,4050,4385,1905,9890,7945,1950,8795,1095
The University of Lincoln,13045,1610,520,1090,1200,410,11435,8475,2960,10815,620
Liverpool Hope University(#2),7670,1865,775,1085,1310,555,5810,4315,1490,5360,445
Liverpool John Moores University,22955,3855,1325,2530,3035,820,19105,14435,4670,17250,1855
The University of Liverpool,21210,4305,1860,2440,2885,1420,16905,13360,3545,15575,1330
"University of the Arts, London",12720,1940,1220,720,1120,815,10785,10170,615,7355,3430
London Business School(#3),1625,1625,935,690,585,1040,0,0,0,0,0
University of London (Institutes and activities)(#3),445,360,185,175,210,150,85,85,0,75,5
London Metropolitan University,29400,7335,2710,4630,4500,2840,22060,14435,7630,17810,4250
London South Bank University,21155,5110,2010,3100,3615,1495,16045,8860,7185,14235,1810
London School of Economics and Political Science(#3),8815,4795,3690,1105,1150,3640,4020,3860,160,2205,1810
London School of Hygiene & Tropical Medicine(#3),970,970,735,235,405,565,0,0,0,0,0
Loughborough University,16270,5610,3330,2280,3170,2435,10660,10415,245,9955,705
University of Luton,11815,1920,1150,770,665,1255,9895,6325,3570,7600,2295
The Manchester Metropolitan University,32215,6210,2330,3885,5300,910,26005,21850,4155,24625,1380
The University of Manchester(#1),39985,11025,6155,4870,7055,3970,28960,24085,4875,25875,3085
Middlesex University,24885,6135,3180,2955,3385,2750,18750,14500,4255,15505,3250
The University of Newcastle-upon-Tyne,18510,5330,3355,1975,2970,2360,13180,13045,135,11910,1270
Newman College of HE,2385,315,215,100,305,10,2070,1340,730,2000,75
The University of Northampton(#2),10445,1420,325,1095,1140,280,9025,6775,2245,8560,470
The University of Northumbria at Newcastle(#4),25535,5465,2430,3035,3750,1710,20070,15210,4860,18265,1805
Norwich School of Art and Design,820,70,20,50,55,15,750,740,10,710,40
The Nottingham Trent University,26540,5755,2245,3510,4955,805,20780,16390,4390,19950,835
The University of Nottingham,32620,7755,4055,3700,4525,3230,24865,19490,5375,22210,2655
The Open University(#5),173015,18355,470,17885,18350,10,154660,0,154660,154660,0
Oxford Brookes University,18570,4885,2000,2880,3660,1225,13685,10300,3385,11625,2060
The University of Oxford,22640,7145,5730,1415,3145,4000,15495,11600,3900,14090,1400
The University of Plymouth,28980,5375,1240,4130,4780,590,23610,16715,6895,22350,1260
The University of Portsmouth,20810,4510,1910,2600,2710,1800,16300,13890,2405,14325,1975
Queen Mary and Westfield College(#3),11005,2785,1785,995,1515,1265,8225,7700,525,6785,1440
Ravensbourne College of Design and Communication,1105,60,45,15,25,35,1045,1045,0,925,115
The University of Reading,14355,4185,2060,2125,2755,1430,10170,8120,2055,9375,795
Roehampton University,7955,1545,780,765,1250,295,6410,5710,700,5935,470
Rose Bruford College,865,40,15,25,30,10,825,560,265,715,110
Royal Academy of Music(#3),735,395,385,10,190,205,340,340,0,225,120
Royal Agricultural College,805,245,105,140,155,90,560,555,5,535,25
Royal College of Art,865,865,830,40,535,330,0,0,0,0,0
Royal College of Music,610,245,215,30,110,135,365,360,0,230,130
The Royal College of Nursing,880,215,0,210,205,10,665,0,665,645,25
Royal Holloway and Bedford New College(#3),7655,1990,1215,775,1225,765,5660,5180,480,4405,1260
Royal Northern College of Music,555,150,150,0,80,70,405,405,0,340,65
The Royal Veterinary College(#3),1440,375,160,210,240,130,1065,1050,15,955,110
St George's Hospital Medical School(#3),3510,575,40,535,530,45,2930,1845,1085,2750,180
College of St Mark and St John,4630,2235,325,1910,2110,125,2395,1990,405,2290,105
St Martin's College,12355,3350,725,2625,3200,150,9005,4520,4485,8860,145
St Mary's College,3500,780,405,375,665,115,2720,2375,345,2535,190
The University of Salford,20100,4265,1415,2850,2840,1420,15835,12855,2980,14655,1180
The School of Oriental and African Studies(#3),4300,2055,1205,850,905,1150,2250,2200,50,1435,815
The School of Pharmacy(#3),1400,665,135,530,540,130,735,720,15,615,120
Sheffield Hallam University,28085,7425,2075,5350,5785,1640,20660,16375,4285,19650,1010
The University of Sheffield,26055,7170,4665,2500,4235,2935,18885,16875,2010,17355,1530
Southampton Solent University(#2),11250,835,245,590,585,250,10415,8685,1730,9485,930
The University of Southampton,23500,7320,3420,3900,4890,2430,16185,13810,2375,14930,1255
Staffordshire University,14995,2910,955,1955,1985,920,12085,8475,3610,10925,1160
The University of Sunderland,18635,2660,1545,1115,1580,1080,15975,7355,8620,13740,2235
"The Surrey Institute of Art and Design, University College",2755,105,80,25,50,55,2650,2565,85,2395,255
The University of Surrey,15925,6460,2970,3490,3220,3240,9465,6945,2520,8315,1150
The University of Sussex,12205,3270,1890,1380,2005,1265,8935,6525,2410,8140,795
The University of Teesside,20430,2545,990,1560,2130,410,17880,8470,9415,17090,795
Thames Valley University,20015,2000,515,1485,1605,395,18010,8470,9540,15785,2225
Trinity and All Saints College,2500,410,260,150,395,15,2095,1965,130,2045,50
Trinity Laban(#1),795,195,105,95,110,85,600,600,0,430,170
University College London(#3),19590,7505,4770,2735,4650,2855,12085,11385,695,9300,2785
The University of Warwick,29795,9885,3340,6545,5555,4330,19910,10450,9455,16710,3200
"University of the West of England, Bristol",27225,5225,2010,3215,4435,790,22000,16720,5280,20770,1230
The University of Westminster,26775,8430,3035,5395,5490,2945,18345,11135,7210,15635,2710
Wimbledon School of Art,655,85,40,40,70,15,570,505,65,485,85
The University of Winchester(#2),4940,770,115,655,745,25,4170,3195,975,4060,110
The University of Wolverhampton,23560,4060,1265,2795,3100,960,19495,12390,7110,17185,2310
University of Worcester(#2),7595,1500,440,1060,1395,105,6095,3460,2635,5945,150
Writtle College,1170,0,0,0,0,0,1170,930,235,1025,145
York St John College,5720,710,200,515,705,5,5010,3630,1375,4810,200
The University of York,12625,3910,2525,1385,2325,1585,8715,7275,1440,7970,745
Total Wales,126620,23630,9800,13830,17030,6600,102990,63830,39160,95375,7615
"University of Wales, Aberystwyth",10685,2305,915,1390,1570,735,8380,6260,2120,7800,580
"University of Wales, Bangor",9500,1815,1070,745,1440,375,7685,5705,1980,7240,445
Cardiff University(#1),28670,7070,3410,3660,4530,2535,21600,16545,5055,20105,1490
"University of Wales Institute, Cardiff",9295,1830,905,925,1265,560,7465,6205,1260,7060,405
University of Glamorgan,21325,2970,990,1980,2235,735,18355,9835,8520,16630,1720
"The University of Wales, Lampeter",9030,1450,245,1205,905,550,7575,980,6595,6790,785
"The University of Wales, Newport",9065,1830,370,1460,1630,200,7240,2665,4575,7015,225
The North-East Wales Institute of Higher Education,6140,405,70,330,350,50,5735,2530,3205,4885,850
Royal Welsh College of Music and Drama,630,125,60,65,95,30,505,505,0,480,25
Swansea Institute of Higher Education,5585,1080,580,500,995,85,4505,3020,1490,4260,245
"University of Wales, Swansea",14480,2400,1025,1375,1670,725,12080,8355,3725,11290,790
"Trinity College, Carmarthen",2220,355,160,195,345,10,1865,1230,635,1810,50
Total Scotland,210600,49900,21430,28465,33915,15980,160700,125215,35485,146770,13925
The University of Aberdeen,13940,3720,1780,1935,2555,1160,10220,9070,1150,9190,1035
University of Abertay Dundee,4185,645,385,260,265,380,3540,3205,340,3175,365
Bell College,3840,125,0,125,125,0,3715,2635,1080,3705,15
The University of Dundee,18260,4670,1225,3445,3105,1570,13590,9235,4355,12205,1385
Edinburgh College of Art,1715,415,335,80,205,210,1295,1240,55,1095,200
The University of Edinburgh,23050,6340,4060,2280,3945,2395,16710,15870,840,14920,1790
Glasgow Caledonian University,15860,2360,1045,1315,1835,530,13500,10660,2835,13050,450
Glasgow School of Art,1600,250,205,50,170,80,1345,1300,45,1160,185
The University of Glasgow,25100,5480,2800,2675,3930,1545,19620,15055,4565,18640,975
Heriot-Watt University,9090,3590,1335,2250,1935,1655,5500,4985,520,4540,960
Napier University,14360,2940,770,2170,2065,880,11420,9215,2205,9540,1885
The University of Paisley,12755,1465,500,960,1200,265,11295,5770,5520,10905,390
"Queen Margaret University College, Edinburgh",5125,1030,390,640,815,215,4090,2980,1110,3530,560
The Robert Gordon University,12715,3800,1070,2730,2185,1615,8915,6515,2400,8180,735
The Royal Scottish Academy of Music and Drama,675,115,110,10,75,40,560,560,0,505,55
The University of St Andrews,8460,1675,1195,475,805,870,6785,6260,530,4865,1920
Scottish Agricultural College,790,130,50,80,95,30,665,610,55,655,10
The University of Stirling,8470,1855,865,995,1240,615,6615,5885,730,6310,305
The University of Strathclyde,24305,9165,3295,5870,7245,1920,15140,11540,3600,14600,540
UHI Millennium Institute,6305,125,5,120,120,5,6180,2630,3545,6010,170
Total Northern Ireland,54495,11660,4165,7495,8805,2855,42840,31280,11560,39715,3120
The Queen's University of Belfast,25540,5480,2135,3345,4190,1290,20065,13410,6655,18800,1265
St Mary's University College,1135,125,20,105,115,10,1010,980,30,955,55
Stranmillis University College,1460,185,40,145,180,5,1275,1025,250,1245,35
University of Ulster,26360,5875,1970,3905,4320,1550,20490,15865,4620,18720,1765
