University,Total HE Students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
The University of Greenwich,18785,4705,1800,2910,3515,1195,14075,9930,4150,12495,1580
Harper Adams University College,1720,135,75,60,110,25,1585,1465,120,1455,130
University of Hertfordshire,20255,3395,1160,2235,2635,760,16860,13295,3565,15105,1755
Homerton College(#4),1985,0,0,0,0,0,1985,685,1300,1935,50
The University of Huddersfield,18025,3150,905,2245,2820,330,14875,9530,5345,14255,625
The University of Hull,21695,3875,1570,2305,2520,1355,17820,9195,8625,16485,1335
"Imperial College of Science, Technology & Medicine",11495,4265,3160,1105,2625,1640,7230,7230,0,5615,1610
Institute of Advanced Nursing Education,960,205,0,200,195,10,755,0,755,725,30
Institute of Education,4860,4800,1785,3015,4040,760,60,5,55,60,0
The University of Keele,12180,3130,1020,2110,2415,715,9055,4745,4305,8795,260
The University of Kent at Canterbury,12785,2185,960,1225,1330,855,10600,7195,3405,9135,1465
Kent Institute of Art & Design,2035,85,55,35,40,45,1945,1770,175,1540,410
"King Alfred's College, Winchester",5280,950,90,860,930,20,4330,3130,1200,4245,85
King's College London,19020,5775,2670,3100,4125,1650,13250,11230,2015,11715,1535
Kingston University,16970,3650,970,2680,3170,480,13320,11685,1635,11870,1450
The University of Lancaster,15615,3315,1470,1845,2195,1120,12300,7090,5210,11315,985
Leeds Metropolitan University,25110,4085,955,3130,3460,625,21025,13250,7775,19535,1490
The University of Leeds,32770,8615,4840,3775,5965,2650,24155,19690,4465,22380,1775
The University of Leicester,16875,8190,2140,6050,5915,2275,8685,7245,1440,7925,760
The University of Lincoln,12420,2180,695,1485,1625,555,10240,7060,3180,9305,935
Liverpool Hope,6990,1515,650,865,1375,140,5475,4330,1145,5155,320
Liverpool John Moores University,21565,2860,845,2015,2435,425,18705,13780,4925,17150,1555
The University of Liverpool,22200,5785,1915,3870,3915,1870,16415,11695,4720,15425,995
London Business School,1630,1630,875,755,555,1080,0,0,0,0,0
University of London (Institutes and activities)(#3),835,635,430,205,370,265,195,195,0,175,25
London Guildhall University,14070,2340,625,1710,1910,430,11730,8000,3735,10300,1430
The London Institute,11140,1730,980,750,1115,620,9405,8705,700,6565,2845
London South Bank University(#2),19865,4640,1240,3400,3665,975,15225,8465,6765,13605,1620
London School of Economics and Political Science,7695,4410,3270,1140,1265,3145,3285,3115,170,1790,1495
London School of Hygiene & Tropical Medicine,895,895,710,185,410,485,0,0,0,0,0
Loughborough University,13555,4045,1915,2130,2870,1175,9515,9355,155,9065,450
University of Luton,11290,1765,860,910,965,805,9520,6180,3340,7305,2215
University of Manchester,27145,7225,3735,3490,4780,2445,19915,16820,3100,18445,1470
The University of Manchester Institute of Science & Technology,7025,2345,1660,685,1160,1185,4675,4675,0,3745,935
The Manchester Metropolitan University,30640,6750,2245,4505,6255,495,23885,19175,4715,22700,1185
Middlesex University,24150,4855,2300,2555,3010,1845,19295,14325,4970,15745,3550
The University of Newcastle-upon-Tyne,19395,5285,2725,2560,3495,1795,14110,11170,2940,13175,935
Newman College,1730,145,70,75,135,10,1585,1055,530,1500,85
The University of North London,16420,3230,1305,1930,2260,970,13185,8475,4710,11060,2125
University College Northampton,10855,1150,190,960,1000,150,9705,7135,2570,9230,475
Northern School of Contemporary Dance,150,0,0,0,0,0,150,150,0,110,40
The University of Northumbria at Newcastle,22775,4025,1415,2605,3135,885,18750,13670,5080,17545,1205
Norwich School of Art and Design,735,40,10,30,40,0,695,685,10,675,20
The Nottingham Trent University,23985,5095,1895,3200,4515,580,18890,14375,4515,17990,900
The University of Nottingham,27800,7755,3785,3970,4965,2795,20045,15780,4265,18275,1770
The Open University,156425,17125,530,16595,17125,0,139300,55,139245,139300,0
Oxford Brookes University,16215,4935,1880,3050,3690,1245,11280,8820,2460,9595,1685
The University of Oxford,22695,6595,4800,1795,3155,3445,16100,11475,4620,14805,1290
The University of Plymouth,25235,3825,830,2995,3490,340,21405,15290,6115,20150,1255
The University of Portsmouth,17565,3760,1310,2450,2700,1060,13805,11405,2400,11790,2015
Queen Mary and Westfield College,9610,2575,1655,925,1745,835,7035,6880,155,6270,765
Ravensbourne College of Design and Communication,800,30,5,25,25,10,770,770,0,655,115
The University of Reading,15850,5305,2200,3105,3550,1760,10540,7490,3055,9730,810
"University of Surrey, Roehampton",7770,1570,730,840,1335,235,6200,5305,895,5675,525
Rose Bruford College,875,40,10,30,30,10,835,565,275,710,125
Royal Academy of Music,620,295,295,0,135,160,325,325,0,215,110
Royal Agricultural College(#1),565,120,110,10,90,30,445,430,15,395,50
Royal College of Art,840,840,795,40,575,260,0,0,0,0,0
Royal College of Music,560,205,185,20,115,90,355,350,0,260,90
Royal Holloway and Bedford New College,5775,1655,1070,585,1135,520,4120,4075,45,3300,820
Royal Northern College of Music,595,155,155,0,90,65,440,440,0,380,60
The Royal Veterinary College,950,230,120,110,165,65,720,705,15,605,120
St George's Hospital Medical School,3470,705,50,655,625,80,2765,1430,1335,2650,115
College of St Mark and St John,4195,1740,270,1470,1720,20,2455,2205,245,2245,210
St Martin's College,10730,3875,700,3180,3585,290,6850,4075,2775,6805,45
St Mary's College,2850,505,195,310,475,25,2345,2065,280,2190,160
The University of Salford,20150,4075,1155,2920,2945,1130,16075,12785,3290,14775,1300
The School of Oriental and African Studies,3690,1815,1080,730,865,950,1875,1855,20,1240,635
The School of Pharmacy,1120,530,105,425,465,65,590,575,15,480,105
Sheffield Hallam University,26025,5815,1655,4165,4905,910,20210,16535,3675,19125,1085
The University of Sheffield,24510,6485,3835,2650,4355,2125,18025,15185,2840,16805,1220
Southampton Institute,10930,815,260,550,640,170,10120,8365,1755,9205,915
The University of Southampton,22175,5495,2610,2880,3710,1785,16680,13135,3545,15930,755
Staffordshire University,15615,2170,635,1535,1795,370,13445,10645,2805,12570,875
The University of Sunderland,12665,2135,1325,810,1410,725,10525,7440,3085,9645,880
"The Surrey Institute of Art and Design, University College",2875,85,30,50,50,35,2795,2695,100,2460,335
The University of Surrey,14530,5350,2305,3045,3075,2275,9180,5825,3355,8150,1025
The University of Sussex,12180,3030,1650,1380,1935,1095,9150,6580,2565,8160,985
The University of Teesside,18115,1955,570,1380,1780,175,16160,7505,8655,15580,575
Thames Valley University,16100,1620,410,1210,1470,155,14480,7045,7435,13460,1020
Trinity And All Saints College,2575,450,165,280,445,5,2130,2050,80,2095,35
Trinity College of Music,490,120,85,40,85,35,365,365,0,280,85
University College London,17805,6540,4250,2290,4350,2190,11265,10965,300,9415,1850
The University of Warwick,27510,8280,2735,5545,5135,3140,19230,9080,10150,17735,1495
"University of the West of England, Bristol",24430,3715,1485,2230,3300,415,20715,15865,4850,19710,1010
The University of Westminster,24605,7740,2745,4995,5710,2030,16865,9885,6980,14670,2195
Wimbledon School of Art,630,140,60,80,115,25,490,465,25,430,65
The University of Wolverhampton,21280,3455,735,2720,3105,350,17825,12610,5210,16260,1565
University College Worcester,6820,1055,290,765,1025,30,5765,3290,2475,5540,225
Writtle College,1390,0,0,0,0,0,1390,1010,380,1250,140
York St John College,5255,830,185,645,820,10,4425,3310,1115,4280,145
The University of York,10640,2900,1740,1160,1965,940,7740,6235,1505,7210,530
Total Wales,113405,21620,8650,12970,16720,4900,91785,58720,33065,86205,5580
"University of Wales, Aberystwyth",10995,2280,895,1385,1725,555,8715,5915,2800,8250,465
"University of Wales, Bangor",9170,1525,985,535,1285,235,7650,5505,2140,7220,430
Cardiff University,21235,5150,3295,1855,3060,2090,16085,12365,3720,14990,1095
"University of Wales Institute, Cardiff",8370,1370,590,780,1180,190,7000,5690,1310,6645,355
University of Glamorgan,18875,2925,635,2290,2485,440,15950,9455,6495,14855,1090
"The University of Wales, Lampeter",5520,795,135,665,540,260,4725,830,3895,4505,220
University of Wales College of Medicine,3915,1460,180,1280,1200,260,2455,2200,255,2340,115
"University of Wales College, Newport",8505,1540,325,1220,1365,180,6965,2495,4470,6680,285
The North-East Wales Institute of Higher Education,6010,505,30,475,480,25,5505,2510,2995,4825,680
Royal Welsh College of Music and Drama(#2),585,100,65,35,85,20,485,460,20,455,30
Swansea Institute of Higher Education,5105,810,130,680,785,25,4295,3175,1120,4160,140
"University of Wales, Swansea",12395,2825,1225,1600,2235,590,9570,7055,2515,8950,620
"Trinity College, Carmarthen",2720,325,155,170,300,25,2395,1065,1330,2335,60
,,,,,,,,,,,
Total Scotland,196980,44575,18130,26445,33965,10610,152405,120415,31990,141335,11070
The University of Aberdeen,12745,3220,1355,1860,2325,890,9525,8520,1005,8580,945
University of Abertay Dundee,4635,725,375,350,480,245,3910,3510,400,3530,380
Bell College(#1),3900,70,45,25,70,0,3830,2540,1295,3810,20
The University of Dundee,15285,4250,850,3400,3255,1000,11035,8140,2895,9920,1115
Edinburgh College of Art,1735,385,285,100,255,125,1350,1330,20,1170,180
The University of Edinburgh,23990,5965,3075,2890,4145,1825,18025,14845,3180,16475,1550
Glasgow Caledonian University,15065,2180,940,1240,1915,265,12885,10690,2195,12595,290
Glasgow School of Art,1440,230,190,40,165,60,1215,1195,15,1060,155
The University of Glasgow,23945,4705,2185,2520,3745,960,19240,14430,4810,18450,790
Heriot-Watt University,7905,3120,1120,2000,2110,1010,4785,4570,215,4070,715
Napier University,13385,2535,1070,1460,2200,335,10855,8320,2535,9875,975
The University of Paisley,10850,1870,805,1065,1635,240,8980,5655,3325,8620,360
"Queen Margaret University College, Edinburgh",4395,750,310,440,585,165,3645,2925,725,3085,560
The Robert Gordon University,11275,2560,760,1795,1805,750,8715,6560,2155,8135,580
The Royal Scottish Academy of Music and Drama,665,130,115,15,90,40,535,535,0,505,30
The University of St Andrews,7735,1230,895,335,825,405,6500,6045,455,4980,1520
Scottish Agricultural College,710,30,25,5,25,5,680,660,20,660,20
The University of Stirling,8660,1770,820,955,1255,520,6890,5965,925,6630,260
The University of Strathclyde,22750,8785,2870,5915,7010,1770,13970,11265,2705,13380,590
UHI Millennium Institute(#1),5910,70,30,40,65,5,5840,2725,3115,5800,40
Total Northern Ireland,48845,11320,4190,7135,8885,2435,37525,27335,10190,34760,2765
The Queen's University of Belfast,23265,5110,2040,3070,4035,1075,18155,12240,5915,16870,1285
St Mary's University College,1020,155,15,145,150,5,865,830,35,800,65
Stranmillis University College,1385,155,35,120,155,5,1230,920,310,1200,25
University of Ulster,23175,5895,2095,3800,4550,1350,17280,13350,3930,15890,1390
