University,Total HE Students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
University of London (Institutes and activities)(#3),460,375,180,190,225,150,85,85,0,75,10
London Metropolitan University,30770,7105,2835,4270,4665,2440,23665,15525,8145,19475,4190
London South Bank University,20960,4610,1495,3110,3360,1250,16355,8380,7970,14680,1670
London School of Economics and Political Science,8570,4760,3625,1135,1215,3545,3810,3630,180,2080,1730
London School of Hygiene & Tropical Medicine,940,940,640,300,410,530,0,0,0,0,0
Loughborough University,15680,5110,2840,2270,3010,2100,10570,10370,200,9955,610
University of Luton,12050,1910,1055,855,795,1110,10140,5775,4365,7730,2410
University of Manchester,31495,7885,4315,3575,5185,2705,23610,18650,4960,21770,1835
The University of Manchester Institute of Science & Technology,7615,2815,1765,1050,1375,1440,4805,4805,0,3755,1050
The Manchester Metropolitan University,33200,6950,2450,4500,6060,890,26245,21735,4510,24960,1285
Middlesex University,22115,5455,2905,2550,2990,2465,16660,13150,3515,13830,2830
The University of Newcastle-upon-Tyne,18335,5400,3230,2165,3115,2280,12935,12700,235,11660,1275
Newman College of HE,2195,280,180,105,260,20,1915,1290,625,1840,75
University College Northampton,11255,1340,275,1060,1145,195,9915,7340,2580,9385,535
The University of Northumbria at Newcastle,25070,5135,2150,2980,3525,1610,19935,14980,4955,18185,1750
Norwich School of Art and Design,725,80,30,50,70,10,650,640,5,610,40
The Nottingham Trent University,26725,5335,2090,3245,4620,715,21390,16400,4990,20535,855
The University of Nottingham,32695,8620,4735,3880,4985,3635,24075,18635,5440,21715,2360
The Open University,169220,18390,475,17915,18280,110,150830,0,150830,150590,240
Oxford Brookes University,17940,5080,2030,3050,3905,1175,12860,10135,2720,10740,2115
The University of Oxford,22180,6865,5445,1420,3090,3775,15310,11490,3820,14035,1275
The University of Plymouth,28420,4850,1095,3750,4335,515,23570,16610,6965,22190,1385
The University of Portsmouth,20565,4505,1845,2660,2815,1685,16060,13165,2895,13825,2235
Queen Mary and Westfield College,10370,2455,1545,910,1410,1045,7915,7525,395,6740,1175
Ravensbourne College of Design and Communication,985,55,35,15,25,30,930,930,0,815,115
The University of Reading,14550,4570,2260,2315,2900,1675,9980,8130,1845,9170,810
Roehampton University(#2),8045,1590,705,885,1285,305,6450,5450,1000,5825,625
Rose Bruford College,730,30,5,25,25,5,700,555,145,605,95
Royal Academy of Music,705,365,365,5,170,195,340,340,0,230,110
Royal Agricultural College,775,260,105,155,150,105,515,505,5,490,25
Royal College of Art,880,880,840,40,610,270,0,0,0,0,0
Royal College of Music,620,225,200,25,115,110,395,390,5,270,125
The Royal College of Nursing,755,205,0,205,200,5,550,0,550,535,15
Royal Holloway and Bedford New College,7600,1930,1165,765,1265,665,5670,4750,920,4565,1105
Royal Northern College of Music,580,175,170,5,105,65,410,410,0,355,55
The Royal Veterinary College,1250,315,145,165,235,80,935,920,15,815,120
St George's Hospital Medical School,3430,590,40,550,565,25,2845,1740,1100,2690,155
College of St Mark and St John,5975,2255,350,1905,2140,115,3720,2260,1460,3620,100
St Martin's College,13140,4820,895,3925,4495,325,8320,4205,4115,8210,110
St Mary's College,3440,730,360,370,670,60,2710,2275,440,2545,165
The University of Salford,19400,3850,1445,2410,2500,1350,15545,12545,3000,14390,1155
The School of Oriental and African Studies,4335,2120,1290,830,975,1145,2215,2160,55,1385,830
The School of Pharmacy,1345,665,145,525,545,120,675,675,0,560,115
Sheffield Hallam University,27450,6905,1995,4910,5415,1495,20545,16425,4120,19315,1230
The University of Sheffield,26095,7360,4860,2505,4525,2835,18735,16455,2280,17285,1445
Southampton Institute,11245,850,300,550,585,260,10395,8560,1835,9360,1035
The University of Southampton,23255,7225,3420,3805,4770,2460,16030,13275,2755,15015,1015
Staffordshire University,14865,2630,735,1895,2020,610,12235,8950,3285,11105,1135
The University of Sunderland,17845,2700,1855,845,1620,1080,15145,7650,7495,13260,1885
"The Surrey Institute of Art and Design, University College",2845,85,55,30,50,35,2760,2670,85,2460,300
The University of Surrey,17235,6785,2640,4145,3360,3420,10450,7065,3385,9330,1120
The University of Sussex,11995,3215,1965,1250,1950,1265,8780,6440,2340,7945,830
The University of Teesside,21145,2355,770,1590,2080,280,18790,8380,10410,18015,775
Thames Valley University,17265,1860,500,1360,1535,325,15405,7805,7600,13795,1605
Trinity and All Saints College,2365,315,255,65,310,5,2045,1920,125,2020,25
Trinity College of Music,760,190,110,80,110,80,570,570,0,395,175
University College London,20240,8305,5350,2955,5200,3100,11935,11195,740,9270,2665
The University of Warwick,29150,9190,3115,6075,5165,4025,19960,10080,9880,17350,2610
"University of the West of England, Bristol",26520,4535,1945,2590,3875,660,21985,16765,5220,20925,1065
The University of Westminster,26610,8555,3175,5380,5775,2780,18060,10755,7305,15580,2480
Wimbledon School of Art,635,115,55,60,95,15,520,465,50,460,60
University College Winchester(#2),5635,1205,110,1095,1190,20,4430,3315,1115,4340,85
The University of Wolverhampton,23990,4065,1100,2965,3245,820,19925,12510,7415,17320,2605
University College Worcester,7555,1395,370,1025,1325,75,6160,3410,2750,5975,185
Writtle College,1170,0,0,0,0,0,1170,920,250,1025,145
York St John College,5625,920,200,720,910,10,4705,3475,1230,4495,205
The University of York,12385,3910,2450,1460,2460,1450,8475,7090,1390,7810,665
Total Wales,121465,23395,9675,13725,17405,5995,98070,62350,35720,91635,6435
"University of Wales, Aberystwyth",10395,2305,870,1435,1630,680,8085,6080,2010,7615,470
"University of Wales, Bangor",9515,1760,1045,715,1395,365,7755,5630,2125,7315,440
Cardiff University,23010,5550,3500,2050,3480,2070,17460,13275,4185,16195,1265
"University of Wales Institute, Cardiff",9140,1685,765,925,1280,400,7455,6100,1355,7085,370
University of Glamorgan,20595,3345,980,2365,2635,715,17255,9740,7510,16030,1225
"The University of Wales, Lampeter",7765,1185,180,1005,780,405,6580,920,5655,6135,440
University of Wales College of Medicine,4260,1580,275,1305,1175,405,2680,2425,255,2580,100
"The University of Wales, Newport(#2)",9065,1830,370,1460,1635,195,7235,2570,4660,6965,270
The North-East Wales Institute of Higher Education,5620,505,40,470,485,20,5115,2705,2410,4345,770
Royal Welsh College of Music and Drama,595,155,65,90,120,30,440,440,0,425,15
Swansea Institute of Higher Education,5515,640,125,510,600,40,4875,3225,1650,4650,225
"University of Wales, Swansea",14080,2650,1350,1300,1995,655,11430,8070,3365,10640,795
"Trinity College, Carmarthen",1910,205,110,95,200,5,1705,1165,540,1655,45
Total Scotland,205155,48745,20095,28655,34175,14570,156410,124515,31895,143500,12905
The University of Aberdeen,14015,3605,1480,2125,2570,1040,10410,9285,1125,9330,1080
University of Abertay Dundee,4115,660,345,310,375,280,3455,3100,355,3135,320
Bell College,4030,130,25,105,130,0,3905,2710,1195,3885,20
The University of Dundee,17395,4510,1035,3470,3150,1355,12885,8910,3975,11645,1245
Edinburgh College of Art,1615,325,260,65,165,160,1285,1235,50,1090,195
The University of Edinburgh,23015,6225,3685,2540,3955,2275,16785,15745,1040,15035,1750
Glasgow Caledonian University,15800,2315,925,1385,1790,525,13490,10650,2840,12875,615
Glasgow School of Art,1500,235,190,45,150,90,1265,1235,30,1105,160
The University of Glasgow,24750,5365,2640,2725,3970,1390,19385,14925,4460,18440,945
Heriot-Watt University,8770,3425,1415,2010,1990,1435,5345,5040,305,4430,915
Napier University,14045,2570,1145,1425,1940,630,11470,9290,2180,9965,1510
The University of Paisley,11450,2035,435,1600,1560,475,9415,6085,3330,8935,475
"Queen Margaret University College, Edinburgh",4570,885,385,500,685,200,3690,2720,970,3290,400
The Robert Gordon University,12400,3500,935,2565,2125,1375,8895,6520,2375,8205,695
The Royal Scottish Academy of Music and Drama,650,110,90,20,80,35,540,540,0,490,45
The University of St Andrews,7945,1605,1165,440,885,720,6340,5870,470,4725,1615
Scottish Agricultural College,740,115,55,60,85,25,630,590,35,610,20
The University of Stirling,8720,1790,785,1005,1265,525,6930,5870,1060,6650,280
The University of Strathclyde,24410,9275,3040,6235,7250,2030,15130,11565,3565,14615,515
UHI Millennium Institute,5220,60,50,10,55,5,5160,2630,2530,5060,100
Total Northern Ireland,52405,11695,4075,7620,8905,2790,40705,30000,10705,37815,2890
The Queen's University of Belfast,23675,5340,2050,3295,4190,1150,18335,12595,5740,17195,1140
St Mary's University College,1155,140,15,125,130,10,1015,995,20,960,55
Stranmillis University College,1370,170,40,130,165,5,1200,1005,195,1175,25
University of Ulster,26200,6045,1970,4070,4420,1625,20160,15410,4750,18485,1675
