university,Total HE students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
The School of Oriental and African Studies(#11),4895,2050,1545,500,950,1100,2845,2745,100,1815,1030
The School of Pharmacy(#11),1395,655,175,480,510,145,740,720,20,625,115
Sheffield Hallam University,33830,8275,3110,5160,5665,2610,25555,19895,5665,23880,1675
The University of Sheffield,24715,7115,5475,1640,3680,3435,17600,15665,1930,15745,1855
Southampton Solent University,11745,740,340,400,415,325,11010,9600,1410,9515,1495
The University of Southampton,22680,5880,4005,1875,3520,2360,16800,14715,2085,14865,1935
Staffordshire University,16990,3605,1420,2185,2370,1235,13385,8655,4730,12670,715
University Campus Suffolk,4665,230,25,210,225,5,4435,2660,1775,4350,85
The University of Sunderland,20030,2870,1880,990,1630,1240,17160,8315,8845,14570,2590
The University of Surrey,15755,5475,3160,2315,2820,2655,10280,8420,1855,8700,1580
The University of Sussex,12365,2725,1795,930,1640,1085,9635,8045,1590,8630,1005
The University of Teesside,26975,3575,1430,2145,2840,735,23395,8050,15345,21835,1560
Thames Valley University,17110,2075,585,1490,1510,565,15035,7455,7580,12750,2285
Trinity Laban Conservatoire of Music and Dance(#10),890,240,160,80,160,80,650,645,5,525,125
University College London(#11),21210,8800,6080,2720,5375,3425,12415,11820,590,8710,3705
The University of Warwick,28435,9205,3995,5205,5445,3760,19235,11425,7810,15905,3330
"University of the West of England, Bristol",31645,6285,1915,4370,5260,1025,25360,18940,6415,23675,1685
The University of Westminster,23160,6730,3010,3720,4120,2610,16430,11340,5090,13620,2810
The University of Winchester,5905,1235,150,1085,1185,50,4670,3870,800,4475,195
The University of Wolverhampton,21770,3855,1610,2245,2675,1180,17915,12000,5915,15970,1945
The University of Worcester,8320,1655,460,1195,1575,80,6665,4745,1920,6385,280
Writtle College,1000,0,0,0,0,0,1000,725,275,920,80
York St John University,6535,945,235,710,895,50,5590,4375,1215,5475,115
The University of York,13490,4090,3145,940,2295,1795,9400,8350,1050,8365,1035
,,,,,,0,,,,,0
Total Wales,126475,25565,12545,13020,15900,9665,100910,68445,32465,89440,11470
Aberystwyth University,10210,1825,1025,800,1300,525,8385,6250,2135,7460,925
Bangor University,11195,2395,1395,1000,1560,835,8800,6945,1855,8135,665
Cardiff University,27940,7610,3805,3805,4675,2935,20330,16245,4085,18670,1660
"University of Wales Institute, Cardiff",11045,3005,1220,1785,1190,1815,8040,7215,825,7225,815
University of Glamorgan,20900,3265,1340,1925,2160,1105,17635,11205,6435,14860,2775
Glynd?r University,7730,915,450,465,515,400,6815,2540,4275,4515,2300
"The University of Wales, Lampeter",6160,1320,665,655,620,700,4840,1105,3735,4105,735
"The University of Wales, Newport",9065,1705,615,1090,1240,465,7360,3285,4075,7150,210
Swansea Metropolitan University,5870,1150,490,660,1050,100,4725,3200,1520,4355,370
Swansea University,14015,2125,1395,730,1360,765,11890,9365,2530,10925,965
Trinity University College(#10),2345,255,145,110,230,25,2090,1095,995,2035,55
,,,,,,0,,,,,0
Total Scotland,215495,51655,27755,23900,32845,18810,163840,129065,34775,145105,18735
The University of Aberdeen,14855,4095,2715,1380,2425,1670,10760,9590,1170,9035,1725
University of Abertay Dundee,4050,490,315,175,185,305,3560,3280,280,2950,610
The University of Dundee,15520,4970,1570,3400,3825,1145,10550,8735,1815,9715,835
Edinburgh College of Art,1550,225,205,20,100,125,1325,1275,45,1105,220
Edinburgh Napier University(#10),13645,2195,1090,1105,1270,925,11455,9215,2240,9155,2300
The University of Edinburgh,24525,7235,5200,2035,4340,2895,17285,16590,695,14700,2585
Glasgow Caledonian University,18410,3275,1700,1575,1935,1340,15135,11305,3830,14495,640
Glasgow School of Art,1765,285,240,45,165,120,1480,1420,60,1100,380
The University of Glasgow,24240,5230,3375,1855,3560,1670,19010,14865,4145,17500,1510
Heriot-Watt University,10430,4645,1575,3070,2700,1945,5785,5360,425,4325,1460
"Queen Margaret University, Edinburgh",5045,1175,395,780,795,380,3870,2910,960,3370,500
The Robert Gordon University,13625,4190,1905,2285,2270,1920,9435,6735,2700,8430,1005
The Royal Scottish Academy of Music and Drama,765,160,125,35,95,65,605,605,0,525,80
The University of St Andrews,9275,1850,1565,285,685,1165,7420,7080,345,4860,2560
Scottish Agricultural College,810,110,55,55,40,70,700,585,115,680,20
The University of Stirling,10125,2575,1470,1105,1450,1125,7550,6540,1005,6920,630
The University of Strathclyde,21300,6690,3390,3300,5230,1460,14610,11930,2680,13630,980
UHI Millennium Institute,7665,500,60,440,440,60,7165,2965,4200,6985,180
The University of the West of Scotland,17895,1750,800,950,1335,415,16145,8085,8055,15635,510
,,,,,,0,,,,,0
Total Northern Ireland,48240,10280,4745,5535,7385,2895,37960,29800,8160,35350,2610
The Queen's University of Belfast(#16),22810,5300,3060,2240,3890,1410,17510,13080,4430,16470,1040
St Mary's University College,990,120,20,100,115,5,870,860,10,850,20
Stranmillis University College,1280,115,15,100,110,5,1165,935,230,1135,30
University of Ulster,23160,4745,1645,3100,3265,1480,18415,14925,3490,16895,1520
,,,,,,,,,,,
