University,Total HE students,PG-Total-All,PG-Full-time,PG-Part-time,PG-Total-UK,PG-Total-Overseas,UG-Total-All,UG-Full-time,UG-Part-time,UG-Total-UK,UG-Total-Overseas
Ravensbourne College of Design and Communication,1115,10,10,0,0,5,1110,1110,0,985,120
The University of Reading,14680,4040,1955,2085,2600,1440,10640,8610,2025,9655,985
Roehampton University,8535,1810,1035,775,1380,430,6720,6125,595,6275,445
Rose Bruford College,910,55,20,35,40,15,855,625,225,750,100
Royal Academy of Music(#13),700,380,375,5,185,195,320,320,0,205,115
Royal Agricultural College,900,260,105,155,150,110,645,625,20,610,30
Royal College of Art,920,920,870,50,565,355,0,0,0,0,0
Royal College of Music,650,300,280,20,140,160,350,350,0,225,125
The Royal College of Nursing,650,190,0,190,185,5,460,0,460,435,25
Royal Holloway and Bedford New College(#13),8335,2375,1445,925,1345,1030,5960,5805,155,4400,1560
Royal Northern College of Music,705,200,195,5,110,90,505,505,0,425,80
The Royal Veterinary College(#13),1805,465,240,220,315,145,1345,1330,15,1235,105
St George's Hospital Medical School(#13),3985,525,40,485,400,125,3460,2175,1285,3270,190
St Martin's College,12255,2875,1125,1745,2725,150,9380,4630,4750,9245,140
"St Mary's University College, Twickenham(#12)",4175,850,505,345,730,125,3325,2760,565,3085,240
The University of Salford,19890,4385,1510,2875,3010,1380,15505,12185,3320,14340,1160
The School of Oriental and African Studies(#13),4725,2050,1225,825,890,1160,2675,2600,80,1675,1000
The School of Pharmacy(#13),1385,655,140,515,525,135,730,710,20,610,115
Sheffield Hallam University,29410,7495,2585,4910,5470,2025,21915,17280,4635,20735,1185
The University of Sheffield,25700,7225,4785,2440,4145,3080,18480,16405,2070,16995,1485
Southampton Solent University,10640,650,285,365,420,235,9990,8435,1555,8870,1115
The University of Southampton,24735,7615,4720,2895,4720,2895,17120,14390,2730,15700,1425
Staffordshire University,15190,3395,1150,2245,2155,1245,11795,8340,3455,10900,895
The University of Sunderland,20215,3195,1995,1200,1785,1410,17020,7820,9200,14165,2855
The University of Surrey,15705,6105,2810,3300,3280,2825,9600,7375,2225,8400,1200
The University of Sussex,12445,3175,1850,1325,1940,1230,9275,6995,2280,8445,825
The University of Teesside,23535,2660,1210,1455,2295,370,20875,8470,12405,19920,955
Thames Valley University,19140,1940,650,1290,1460,475,17200,8905,8295,14680,2520
Trinity Laban,830,225,130,95,140,90,600,600,0,455,150
University College London(#13),19385,7580,5040,2545,4600,2980,11805,11085,720,8650,3155
The University of Warwick,30320,9940,3535,6405,5750,4190,20375,10635,9740,17135,3240
"University of the West of England, Bristol",29605,5675,2195,3480,4790,885,23930,17500,6430,22360,1570
The University of Westminster,24710,6860,2815,4045,4025,2830,17850,11645,6205,14950,2900
The University of Winchester,5300,1045,115,930,1015,35,4250,3420,830,4095,160
The University of Wolverhampton,23470,4535,1075,3460,3240,1295,18935,12585,6350,16670,2265
The University of Worcester,7750,1610,450,1160,1515,95,6140,3885,2255,5975,170
Writtle College,1155,0,0,0,0,0,1155,875,275,1010,145
York St John University,6435,930,245,685,885,45,5505,4040,1470,5350,155
The University of York,13270,4165,2900,1270,2195,1970,9105,7745,1360,8210,895
,,,,,,0,,,,,0
Total Wales,131765,27665,11175,16490,18860,8805,104100,66005,38095,94795,9305
Aberystwyth University(#12),10760,2500,830,1670,1685,815,8255,6155,2105,7600,660
Bangor University(#12),10530,2030,1205,825,1510,520,8500,6100,2400,7990,510
Cardiff University,29640,7840,3705,4140,5015,2830,21800,16390,5410,20210,1590
"University of Wales Institute, Cardiff",10765,3160,1130,2030,1730,1430,7605,6700,905,6955,645
University of Glamorgan,21535,3255,1395,1865,2330,925,18280,10225,8050,15940,2335
"The University of Wales, Lampeter",8925,1835,325,1515,1015,820,7090,1140,5950,6280,805
The North-East Wales Institute of Higher Education,7305,540,170,370,400,140,6765,2510,4255,5350,1420
"The University of Wales, Newport",9535,2055,465,1590,1815,240,7480,3250,4230,7290,190
Royal Welsh College of Music and Drama,660,145,50,95,120,20,520,515,0,500,20
Swansea Institute of Higher Education,5630,1210,470,740,1145,65,4415,3040,1375,4120,300
Swansea University(#12),14115,2745,1285,1460,1775,970,11370,8770,2600,10580,790
"Trinity College, Carmarthen",2365,345,145,200,325,20,2020,1210,810,1970,50
,,,,,,0,,,,,0
Total Scotland,223530,59025,26680,32350,38380,20650,164505,126115,38390,148030,16480
The University of Aberdeen,14025,3870,2100,1770,2445,1430,10155,8865,1290,8845,1305
University of Abertay Dundee,4180,680,360,320,245,435,3500,3185,315,2890,610
Bell College,5280,125,15,115,125,0,5150,2720,2430,5135,15
The University of Dundee,18225,5975,1475,4500,4080,1895,12250,9015,3235,11125,1120
Edinburgh College of Art,1710,330,285,45,140,185,1380,1335,45,1130,250
The University of Edinburgh,24225,7240,4845,2395,4580,2660,16980,16285,695,14975,2005
Glasgow Caledonian University,17450,3530,1525,2005,2495,1035,13920,10690,3230,13275,645
Glasgow School of Art,1685,295,255,40,185,110,1390,1325,65,1140,250
The University of Glasgow,25300,6340,3855,2485,4185,2160,18960,14790,4170,17810,1150
Heriot-Watt University,10560,5245,1535,3710,3005,2240,5315,4775,540,4100,1215
Napier University,14540,3280,1045,2230,1980,1300,11260,8960,2300,9350,1915
The University of Paisley,14270,1650,775,875,1255,395,12620,5850,6770,11965,650
"Queen Margaret University, Edinburgh(#12)",5280,1150,420,730,825,325,4130,3075,1055,3530,600
The Robert Gordon University,12985,4105,1405,2700,2170,1935,8880,6720,2160,7995,885
The Royal Scottish Academy of Music and Drama,690,115,110,10,60,55,575,575,0,515,60
The University of St Andrews,8965,2025,1535,490,790,1235,6940,5875,1065,4850,2090
Scottish Agricultural College,805,115,40,70,95,20,690,585,105,680,15
The University of Stirling,10510,2795,1365,1430,1620,1175,7715,6810,905,7000,710
The University of Strathclyde,26000,9815,3665,6155,7780,2035,16185,11840,4345,15320,865
UHI Millennium Institute,6855,345,70,275,310,35,6510,2830,3675,6400,110
,,,,,,0,,,,,0
Total Northern Ireland,50325,10270,3390,6880,7655,2615,40060,30720,9335,37320,2735
The Queen's University of Belfast,24135,5440,2085,3355,4075,1365,18700,13385,5310,17770,930
St Mary's University College,1130,110,15,95,110,0,1020,1005,10,975,45
Stranmillis University College,1325,155,30,120,150,5,1170,1000,170,1135,35
University of Ulster,23735,4565,1255,3310,3320,1245,19170,15325,3845,17440,1735
